Id;RoleId;FullName;Login;Password
0;0;Ворсин Петр Евгеньевич;94d5ous@gmail.com;uzWC67
1;0;Старикова Елена Павловна;uth4iz@mail.com;2L6KZG
2;0;Одинцов Серафим Артёмович;yzls62@outlook.com;JlFRCZ
3;1;Михайлюк Анна Вячеславовна;1diph5e@tutanota.com;8ntwUp
4;1;Ситдикова Елена Анатольевна;tjde7c@yahoo.com;YOyhfR
5;1;Никифорова Весения Николаевна;wpmrc3do@tutanota.com;RSbvHv
6;2;Степанов Михаил Артёмович;5d4zbu@tutanota.com;rwVDh9
7;2;Ворсин Петр Евгеньевич;ptec8ym@yahoo.com;LdNyos
8;2;Старикова Елена Павловна;1qz4kw@mail.com;gynQMT
9;2;Сазонов Руслан Германович;4np6se@mail.com;AtnDjr
